epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,38046.1,1.62168,0.98531,1.66958,0.87612,0.73664,0.83094,0.33715,2.00545,1.16249,1.84294,0.00741194,0.00741194,0.00741194
43,39379.9,1.61189,0.98533,1.67067,0.90465,0.79008,0.87274,0.38527,1.93795,1.07314,1.78235,0.00729725,0.00729725,0.00729725
44,40710.5,1.5891,0.9721,1.6282,0.91306,0.80172,0.8652,0.39242,1.92517,1.04022,1.773,0.00718103,0.00718103,0.00718103
45,42044.5,1.60157,0.95293,1.65237,0.84918,0.73069,0.81772,0.34132,1.90656,1.27615,1.79956,0.00706335,0.00706335,0.00706335
46,43376.1,1.60209,0.96989,1.63918,0.90111,0.80534,0.89022,0.37885,1.90821,1.04465,1.76318,0.00694428,0.00694428,0.00694428
47,44707.8,1.60376,0.95581,1.65494,0.84827,0.81679,0.83387,0.33214,1.95882,1.11566,1.81834,0.00682392,0.00682392,0.00682392
48,46046.3,1.61758,0.94478,1.64243,0.81386,0.80103,0.84164,0.34807,1.96656,1.10622,1.81232,0.00670234,0.00670234,0.00670234
49,47378.7,1.60064,0.95552,1.65263,0.91516,0.81679,0.88531,0.39947,1.90981,1.01754,1.76195,0.00657963,0.00657963,0.00657963
50,48409.6,1.59237,0.91855,1.62338,0.92027,0.82061,0.89902,0.38306,1.88188,1.0013,1.71025,0.00645588,0.00645588,0.00645588
51,48818.8,1.60635,0.90898,1.64341,0.91416,0.83206,0.89262,0.39716,1.91013,1.01131,1.7177,0.00633115,0.00633115,0.00633115
52,49228.1,1.58914,0.94258,1.63851,0.87756,0.82066,0.8949,0.41259,1.86633,1.04976,1.72972,0.00620555,0.00620555,0.00620555
53,49638.7,1.57702,0.9197,1.62073,0.90846,0.77481,0.87757,0.39205,1.85012,1.07098,1.74486,0.00607916,0.00607916,0.00607916
54,50049,1.56562,0.91795,1.60818,0.86314,0.81843,0.8762,0.37347,1.94424,1.02009,1.75812,0.00595207,0.00595207,0.00595207
55,50459.5,1.57354,0.91138,1.62498,0.90987,0.77063,0.86389,0.40061,1.86738,1.02195,1.72696,0.00582435,0.00582435,0.00582435
56,50873.1,1.5671,0.88382,1.61205,0.8383,0.81126,0.86235,0.39081,1.94139,0.99401,1.75293,0.0056961,0.0056961,0.0056961
57,51285.5,1.57678,0.90177,1.61249,0.88383,0.84208,0.88079,0.39194,1.85881,1.03747,1.7586,0.00556742,0.00556742,0.00556742
58,51697.8,1.56117,0.8621,1.62227,0.90843,0.80534,0.88349,0.37816,1.93374,1.02397,1.78267,0.00543837,0.00543837,0.00543837
59,52108.6,1.58321,0.87576,1.62596,0.85031,0.83206,0.87979,0.40705,1.91657,1.00731,1.77163,0.00530906,0.00530906,0.00530906
60,52518.7,1.56023,0.89283,1.60616,0.87557,0.79771,0.88043,0.39314,1.86016,1.02146,1.72888,0.00517958,0.00517958,0.00517958
61,52929.3,1.56173,0.88497,1.61083,0.8836,0.82443,0.87864,0.3983,1.90043,0.97059,1.75286,0.00505,0.00505,0.00505
62,53340.1,1.55005,0.84752,1.60654,0.86252,0.82061,0.88563,0.37056,1.95262,1.01109,1.81002,0.00492042,0.00492042,0.00492042
63,53750.9,1.56155,0.82671,1.6109,0.90177,0.84092,0.89905,0.40083,1.86285,0.99811,1.72592,0.00479094,0.00479094,0.00479094
64,54160.2,1.56077,0.85538,1.60413,0.85677,0.83206,0.88811,0.40333,1.85305,0.95144,1.70996,0.00466163,0.00466163,0.00466163
65,54569.5,1.5738,0.84647,1.61118,0.89479,0.85878,0.90297,0.41165,1.9023,0.93893,1.73371,0.00453258,0.00453258,0.00453258
66,54978.7,1.56125,0.87718,1.60856,0.93937,0.82443,0.88985,0.37916,1.97453,0.96776,1.81373,0.0044039,0.0044039,0.0044039
67,55388.5,1.54489,0.84186,1.59959,0.91003,0.81075,0.88288,0.40685,1.87313,0.98435,1.73277,0.00427565,0.00427565,0.00427565
68,55804.8,1.54831,0.83158,1.60028,0.92168,0.80848,0.88159,0.40988,1.87821,0.94283,1.72284,0.00414793,0.00414793,0.00414793
69,56224.3,1.54952,0.84399,1.58189,0.91152,0.83969,0.88518,0.40115,1.95047,0.94253,1.76861,0.00402084,0.00402084,0.00402084
70,56643,1.53297,0.82378,1.58523,0.91425,0.86641,0.90539,0.38854,1.92717,0.92313,1.76141,0.00389445,0.00389445,0.00389445
71,57062.3,1.53406,0.83396,1.57574,0.90745,0.84733,0.8984,0.41564,1.89726,0.94261,1.76906,0.00376885,0.00376885,0.00376885
72,57480,1.52492,0.80678,1.58443,0.92584,0.83206,0.89883,0.40876,1.88063,0.91497,1.75663,0.00364412,0.00364412,0.00364412
73,57898,1.52015,0.79532,1.58287,0.92056,0.88461,0.91582,0.38783,1.94408,0.9282,1.79382,0.00352037,0.00352037,0.00352037
74,58314.9,1.52704,0.80935,1.58381,0.91373,0.84893,0.89236,0.40279,1.89829,0.89445,1.77251,0.00339766,0.00339766,0.00339766
75,58731.6,1.5045,0.79261,1.57649,0.91047,0.85389,0.89454,0.4207,1.8771,0.89918,1.73635,0.00327608,0.00327608,0.00327608
76,59147.5,1.52195,0.83117,1.58977,0.90545,0.85115,0.89163,0.37134,1.93293,0.96339,1.8101,0.00315572,0.00315572,0.00315572
77,59564.4,1.54191,0.79976,1.58584,0.92523,0.87786,0.90547,0.35168,2.01736,0.98302,1.8984,0.00303665,0.00303665,0.00303665
78,59981.6,1.51354,0.7913,1.58017,0.93867,0.87626,0.91002,0.37296,1.98787,0.92962,1.81377,0.00291897,0.00291897,0.00291897
79,60399.9,1.53427,0.79701,1.5818,0.87061,0.83588,0.86032,0.33545,2.08876,1.01613,1.90235,0.00280275,0.00280275,0.00280275
80,60817.1,1.50641,0.79119,1.57588,0.91479,0.83969,0.88608,0.35919,2.00006,0.94313,1.85957,0.00268806,0.00268806,0.00268806
81,61235.2,1.506,0.78763,1.56732,0.90673,0.81629,0.85747,0.33491,2.11833,0.96345,1.9271,0.002575,0.002575,0.002575
82,61652.3,1.47498,0.77856,1.54957,0.88464,0.83206,0.88047,0.35635,2.01559,0.98098,1.85737,0.00246363,0.00246363,0.00246363
83,62068.8,1.48662,0.7696,1.56048,0.91399,0.85496,0.89455,0.36623,2.00999,0.94483,1.84827,0.00235404,0.00235404,0.00235404
84,62486.2,1.47784,0.77028,1.54725,0.90972,0.82824,0.88128,0.35066,2.04589,0.99971,1.88762,0.00224629,0.00224629,0.00224629
85,62902.6,1.49229,0.7762,1.55546,0.88973,0.83147,0.87978,0.35414,2.04463,1.0031,1.90298,0.00214046,0.00214046,0.00214046
86,63319.6,1.47458,0.76498,1.54221,0.90779,0.86426,0.89161,0.37201,2.00726,0.94217,1.83439,0.00203663,0.00203663,0.00203663
87,63736.1,1.45437,0.73948,1.52965,0.92248,0.86291,0.90155,0.37441,1.98895,0.93156,1.83965,0.00193486,0.00193486,0.00193486
88,64151.9,1.46275,0.74268,1.55026,0.92861,0.85496,0.89987,0.39306,1.93731,0.9265,1.80692,0.00183523,0.00183523,0.00183523
89,64568.6,1.47674,0.73929,1.54515,0.92795,0.8855,0.91546,0.37685,2.05239,0.92093,1.88627,0.0017378,0.0017378,0.0017378
90,64985.5,1.4576,0.72785,1.52742,0.93384,0.86191,0.89674,0.35977,2.06686,0.97583,1.90803,0.00164264,0.00164264,0.00164264
91,65401.7,1.45295,0.73846,1.53287,0.90633,0.84936,0.89502,0.38564,1.96371,0.90158,1.81744,0.00154982,0.00154982,0.00154982
92,65819.2,1.45051,0.72479,1.52375,0.92305,0.86993,0.90012,0.40033,1.91845,0.90931,1.78771,0.0014594,0.0014594,0.0014594
93,66235.2,1.45445,0.72306,1.52807,0.94457,0.85878,0.91326,0.39679,1.94476,0.87856,1.78805,0.00137143,0.00137143,0.00137143
94,66650.5,1.4522,0.71671,1.51874,0.92784,0.83969,0.90508,0.39576,1.97488,0.90281,1.83693,0.00128599,0.00128599,0.00128599
95,67068.1,1.44483,0.71781,1.51891,0.93205,0.82443,0.88697,0.38031,1.98484,0.90277,1.84279,0.00120313,0.00120313,0.00120313
